Date,Open,High,Low,Close,Volume,Adj Close
2000-01-24,5.15083,5.15083,5.15083,5.15083,17000,0.00685
2000-01-25,5.55,5.5625,5.45833,5.52167,338100,0.00734
2000-01-27,5.83333,5.83333,5.33333,5.41667,158600,0.0072
2000-01-28,5.25083,5.25083,5.11667,5.21667,51600,0.00694
2000-01-31,5.23,5.26667,4.86667,4.86667,36000,0.00647
2000-02-01,4.93333,5.16667,4.93333,5.0825,116800,0.00676
2000-02-02,5.18333,5.43333,5.18333,5.425,160300,0.00721
2000-02-03,5.46667,5.46667,5.18333,5.18417,119400,0.00689
2000-02-04,5.3,5.33333,4.98333,5.19833,249500,0.00691
2000-02-07,5.4,5.5,5.1,5.1,95800,0.00678
2000-02-08,5.01667,5.01667,4.93333,4.94167,84300,0.00657
2000-02-09,4.76833,4.83333,4.76667,4.76667,51000,0.00634
2000-02-10,4.60083,4.75,4.53333,4.53333,94800,0.00603
2000-02-11,4.65833,4.88333,4.65833,4.83333,82800,0.00643
2000-02-14,4.75,4.91667,4.58417,4.81667,63300,0.0064
2000-02-15,4.51667,4.8125,4.50167,4.56667,42000,0.00607
2000-02-16,4.66667,4.93167,4.66667,4.93167,91600,0.00656
2000-02-17,4.83333,5.32583,4.83333,5.32583,145800,0.00708
2000-02-18,5.5,5.75167,5.5,5.75167,220600,0.00765
2000-02-21,6.08333,6.21083,6.08333,6.19917,317100,0.00824
2000-02-22,6.0,6.0,5.70333,5.7125,296400,0.0076
2000-02-23,5.66667,5.66667,5.27083,5.27083,48600,0.00701
2000-02-24,5.55,5.69167,5.55,5.69167,167200,0.00757
2000-02-25,6.08333,6.08333,5.5,5.51833,212000,0.00734
2000-02-28,5.95917,5.95917,5.9,5.95917,627400,0.00792
2000-02-29,6.08333,6.2,5.48333,5.485,321300,0.00729
2000-03-01,5.16833,5.435,5.16833,5.40833,84600,0.00719
2000-03-02,5.56583,5.84083,5.56583,5.84083,428700,0.00777
2000-03-03,5.85,6.06667,5.42167,5.79583,590800,0.00771
2000-03-06,5.75,5.75,5.33333,5.33333,169500,0.00709
2000-03-07,5.35,5.75,5.16667,5.2025,248400,0.00692
2000-03-08,5.39917,5.55,5.15,5.16667,201400,0.00687
2000-03-09,5.06833,5.06833,4.85417,4.91667,82800,0.00654
2000-03-10,4.59167,4.83333,4.525,4.525,192600,0.00602
2000-03-13,4.46667,4.46667,4.35,4.35,32400,0.00578
2000-03-14,4.16667,4.16667,4.05667,4.05667,97400,0.00539
2000-03-15,3.83333,3.83417,3.83333,3.83333,46800,0.0051
2000-03-16,3.91667,3.91667,3.75167,3.75167,356400,0.00499
2000-03-21,3.83333,3.83333,3.71667,3.71667,421800,0.00494
2000-03-22,3.83333,3.9,3.83333,3.9,18000,0.00519
2000-03-23,3.88333,3.91667,3.88333,3.91667,24600,0.00521
2000-03-24,3.78333,3.81667,3.7,3.81667,68400,0.00508
2000-03-27,3.86667,3.86667,3.68333,3.68417,81300,0.0049
2000-03-28,3.68333,3.68333,3.66667,3.66667,24000,0.00488
2000-03-29,3.815,3.81667,3.815,3.81667,32100,0.00508
2000-03-30,3.58667,3.58667,3.58667,3.58667,7200,0.00477
2000-03-31,3.63333,3.865,3.58333,3.865,110800,0.00514
2000-04-03,3.93333,3.93333,3.88333,3.91667,42000,0.00521
2000-04-04,3.66667,3.66667,3.60417,3.60417,32400,0.00479
2000-04-06,3.41667,3.41667,3.335,3.335,19800,0.00443
2000-04-07,3.60083,3.60083,3.60083,3.60083,21000,0.00479
2000-04-12,3.88833,3.88833,3.88833,3.88833,25200,0.00517
2000-04-17,3.78333,3.78333,3.76667,3.76667,12000,0.00501
2000-04-18,3.53167,3.53167,3.52667,3.52667,24000,0.00469
2000-04-19,3.63333,3.65,3.33333,3.58333,53100,0.00476
