Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,1130.0,1180.2,1125.0,1180.2,1651600,1180.2
2000-01-04,1249.5,1274.6,1181.25,1274.6,4174700,1274.6
2000-01-05,1255.0,1312.0,1172.65,1189.0,5566200,1189.0
2000-01-06,1195.0,1200.0,1095.0,1107.0,3531200,1107.0
2000-01-07,1104.0,1104.0,1018.45,1018.45,933700,1018.45
2000-01-10,1030.0,1099.9,945.0,968.2,3304300,968.2
2000-01-11,985.0,1045.6,900.0,1020.0,5863700,1020.0
2000-01-12,1014.9,1085.0,996.0,1060.0,2710800,1060.0
2000-01-13,1065.0,1093.0,1010.15,1016.0,1891600,1016.0
2000-01-14,1028.0,1029.7,980.0,997.0,3457600,997.0
2000-01-17,1025.0,1063.4,1025.0,1039.0,1993000,1039.0
2000-01-18,1050.0,1050.0,1008.8,1024.0,1854000,1024.0
2000-01-19,1025.0,1105.9,1025.0,1105.9,3751900,1105.9
2000-01-20,1125.0,1184.0,1118.1,1143.85,4055000,1143.85
2000-01-21,1125.0,1177.4,1120.05,1172.0,3369700,1172.0
2000-01-24,1210.0,1245.0,1208.0,1238.1,3467000,1238.1
2000-01-25,1230.0,1242.65,1200.0,1212.5,3146500,1212.5
2000-01-26,1212.5,1212.5,1212.5,1212.5,0,1212.5
2000-01-27,1221.75,1261.0,1205.1,1216.0,3094200,1216.0
2000-01-28,1220.0,1285.9,1215.0,1276.55,4210500,1276.55
2000-01-31,1261.0,1305.0,1201.0,1211.3,3419700,1211.3
2000-02-01,1225.0,1259.0,1220.0,1239.0,2616200,1239.0
2000-02-02,1245.0,1293.8,1235.25,1242.0,4001500,1242.0
2000-02-03,1242.0,1242.0,1242.0,1242.0,0,1242.0
2000-02-04,1375.0,1401.0,1315.1,1327.5,3513000,1327.5
2000-02-07,1345.0,1360.0,1301.15,1314.0,2587100,1314.0
2000-02-08,1320.0,1394.9,1315.0,1345.0,5155100,1345.0
2000-02-09,1354.0,1374.4,1314.0,1317.55,2519100,1317.55
2000-02-10,1330.0,1364.2,1310.0,1338.0,2233400,1338.0
2000-02-11,1340.0,1392.8,1335.0,1340.0,4788600,1340.0
2000-02-14,1380.0,1428.9,1351.2,1398.0,5070800,1398.0
2000-02-15,1395.0,1429.0,1360.0,1367.0,3352600,1367.0
2000-02-16,1374.0,1399.0,1351.0,1369.9,2407800,1369.9
2000-02-17,1377.5,1404.95,1361.0,1375.0,2755800,1375.0
2000-02-18,1380.0,1405.0,1368.05,1371.15,3535100,1371.15
2000-02-21,1430.0,1480.8,1420.15,1480.8,4311100,1480.8
2000-02-22,1599.25,1599.25,1532.25,1544.1,3680400,1544.1
2000-02-23,1558.0,1630.0,1432.15,1439.9,3542500,1439.9
2000-02-24,1452.0,1555.05,1452.0,1555.05,3183400,1555.05
2000-02-25,1585.0,1603.0,1430.65,1430.65,3348800,1430.65
2000-02-28,1545.05,1545.05,1365.15,1417.0,2196700,1417.0
2000-02-29,1424.9,1475.0,1303.65,1307.25,3895800,1307.25
2000-03-01,1309.0,1411.8,1290.0,1411.8,3137300,1411.8
2000-03-02,1443.0,1524.7,1425.0,1524.7,3257300,1524.7
2000-03-03,1570.0,1570.0,1442.0,1475.0,3951700,1475.0
2000-03-06,1530.0,1566.0,1490.0,1547.0,3060200,1547.0
2000-03-07,1559.95,1574.0,1460.0,1474.9,2699200,1474.9
2000-03-08,1470.0,1518.0,1425.0,1432.0,2680000,1432.0
2000-03-09,1460.0,1501.0,1340.1,1348.0,2561700,1348.0
2000-03-10,1374.0,1420.0,1250.0,1258.0,3414100,1258.0
2000-03-13,1258.0,1258.0,1258.0,1258.0,0,1258.0
2000-03-14,1215.0,1317.55,1172.2,1317.55,4990900,1317.55
2000-03-15,1317.55,1317.55,1212.15,1212.15,2760000,1212.15
2000-03-16,1204.0,1204.0,1115.2,1115.2,2628200,1115.2
2000-03-17,1115.2,1115.2,1115.2,1115.2,0,1115.2
2000-03-20,1115.2,1115.2,1115.2,1115.2,0,1115.2
2000-03-21,1099.0,1109.0,1026.0,1026.0,1629500,1026.0
2000-03-22,1005.0,1092.0,945.0,949.8,5744100,949.8
2000-03-23,964.0,1025.75,964.0,1025.75,1235600,1025.75
2000-03-24,1090.0,1107.8,1048.0,1078.0,2304900,1078.0
2000-03-27,1134.0,1153.0,1070.1,1111.05,3615300,1111.05
2000-03-28,1099.0,1100.0,1026.25,1039.0,2593200,1039.0
2000-03-29,1049.0,1085.0,1030.0,1053.5,2178900,1053.5
2000-03-30,1040.1,1060.0,969.25,1029.05,3380500,1029.05
2000-03-31,1025.0,1049.0,947.0,1022.0,4542300,1022.0
2000-04-03,1050.25,1073.8,940.25,940.25,2640200,940.25
2000-04-04,870.0,870.0,865.05,865.05,101900,865.05
2000-04-05,795.85,844.9,795.85,795.85,1860400,795.85
2000-04-06,755.0,859.5,732.2,840.0,3116000,840.0
2000-04-07,859.0,907.15,859.0,907.15,652400,907.15
2000-04-10,979.7,979.7,979.7,979.7,22700,979.7
2000-04-11,1030.0,1030.0,1030.0,1030.0,1000000,1030.0
2000-04-12,1039.0,1096.0,1010.5,1063.75,3758100,1063.75
2000-04-13,1050.0,1050.0,978.7,1006.0,3201500,1006.0
2000-04-14,1006.0,1006.0,1006.0,1006.0,0,1006.0
2000-04-17,925.55,925.55,925.55,925.55,29000,925.55
2000-04-18,925.55,999.55,851.55,851.55,2787400,851.55
2000-04-19,851.55,884.0,783.45,783.45,1510100,783.45
2000-04-20,745.0,745.0,720.8,720.8,275200,720.8
2000-04-21,720.8,720.8,720.8,720.8,0,720.8
2000-04-24,763.15,763.15,671.0,671.0,400,671.0
2000-04-25,610.1,716.15,610.1,716.15,5046500,716.15
2000-04-26,716.15,716.15,716.15,716.15,0,716.15
2000-04-27,764.1,765.15,708.0,711.0,2467300,711.0
2000-04-28,714.9,754.8,680.0,710.0,7057900,710.0
2000-05-01,710.0,710.0,710.0,710.0,0,710.0
2000-05-02,740.0,745.0,624.85,626.85,3660200,626.85
2000-05-03,576.75,576.75,576.75,576.75,300000,576.75
2000-05-04,596.5,669.7,595.25,666.15,3585300,666.15
2000-05-05,666.15,666.15,666.15,666.15,0,666.15
2000-05-08,666.15,666.15,666.15,666.15,0,666.15
2000-05-09,666.15,666.15,666.15,666.15,0,666.15
2000-05-10,754.0,754.0,620.8,620.8,6581400,620.8
2000-05-11,572.0,572.0,546.35,546.35,2755200,546.35
2000-05-12,503.8,526.15,480.8,480.8,4474100,480.8
2000-05-15,442.35,534.0,423.15,526.0,11631900,526.0
2000-05-16,530.0,539.0,490.0,521.75,6482200,521.75
2000-05-17,522.0,555.0,481.5,501.0,4561100,501.0
2000-05-18,490.0,525.0,485.0,518.25,4071400,518.25
2000-05-19,523.0,523.0,465.0,469.5,3458300,469.5
2000-05-22,457.0,458.0,425.3,431.0,3455600,431.0
2000-05-23,429.05,442.9,396.55,442.0,5037600,442.0
2000-05-24,440.0,440.0,406.65,422.5,3510500,422.5
2000-05-25,427.9,450.0,423.0,432.2,4305000,432.2
2000-05-26,430.0,432.0,405.2,409.0,3154200,409.0
2000-05-29,410.0,450.0,377.0,449.0,6393800,449.0
2000-05-30,454.0,495.0,441.2,488.9,5496900,488.9
2000-05-31,495.0,535.0,495.0,516.95,3622600,516.95
2000-06-01,515.25,522.9,495.25,502.85,4199400,502.85
2000-06-02,509.95,557.1,509.95,547.5,6114200,547.5
2000-06-05,582.0,613.15,570.0,592.0,6546900,592.0
2000-06-06,595.0,636.0,595.0,627.0,6168100,627.0
2000-06-07,629.75,666.0,608.0,633.05,8131400,633.05
2000-06-08,639.9,660.0,635.0,643.0,3724000,643.0
2000-06-09,646.0,649.0,600.0,602.65,4484400,602.65
2000-06-12,615.0,616.0,546.6,547.15,4079600,547.15
2000-06-13,549.0,550.0,487.15,525.25,7656800,525.25
2000-06-14,528.5,536.0,471.0,473.95,9294500,473.95
2000-06-15,478.0,495.9,460.1,477.75,5486400,477.75
2000-06-16,477.85,501.8,477.85,493.55,5615500,493.55
2000-06-19,493.55,493.55,493.55,493.55,0,493.55
2000-06-20,546.1,576.0,546.1,549.25,6407500,549.25
2000-06-21,557.0,557.0,493.0,495.95,6111500,495.95
