Date,Open,High,Low,Close,Volume,Adj Close
2008-07-28,162.1,169.5,147.1,154.35,13700,152.54
2008-07-29,157.5,159.85,150.0,151.35,2100,149.57
2008-07-30,158.6,158.6,150.1,156.8,300,154.96
2008-07-31,152.3,158.8,152.0,153.8,1400,151.99
2008-08-01,147.0,158.75,147.0,153.5,600,151.7
2008-08-04,157.7,164.0,157.7,161.6,30300,159.7
2008-08-05,164.8,193.95,164.8,193.95,44100,191.67
2008-08-06,224.0,224.0,184.0,191.0,51000,188.76
2008-08-07,181.0,189.7,181.0,182.15,5600,180.01
2008-08-08,182.1,184.95,180.0,180.2,3800,178.08
2008-08-11,198.0,198.0,180.0,181.1,4300,178.97
2008-08-12,186.0,189.9,177.0,178.2,2300,176.11
2008-08-13,186.4,188.0,177.0,178.95,36100,176.85
2008-08-14,178.95,184.9,178.05,179.8,3800,177.69
2008-08-18,178.0,181.0,178.0,179.95,10100,177.84
2008-08-19,180.0,189.0,175.5,178.7,5200,176.6
2008-08-20,175.1,184.0,175.1,179.6,4600,177.49
2008-08-21,176.0,183.95,176.0,178.35,2600,176.25
2008-08-22,180.0,183.95,176.2,180.35,26000,178.23
2008-08-25,175.2,198.0,175.2,179.25,12000,177.14
2008-08-26,176.0,176.0,161.25,168.65,5800,166.67
2008-08-27,167.05,171.8,163.25,164.15,1900,162.22
2008-08-28,162.0,169.65,162.0,163.75,1400,161.83
2008-08-29,171.0,176.5,165.25,172.45,3500,170.42
2008-09-01,182.0,193.45,170.55,175.25,3100,173.19
2008-09-02,178.95,183.95,171.1,173.15,2000,171.12
2008-09-04,178.0,178.0,166.0,175.0,36200,172.94
2008-09-05,171.0,173.9,168.0,169.8,4100,167.81
2008-09-08,180.0,180.0,170.05,174.7,1300,172.65
2008-09-09,172.0,176.0,169.0,169.7,700,167.71
2008-09-10,175.0,176.9,169.0,172.4,163800,170.37
2008-09-11,170.0,176.0,166.35,167.9,301600,165.93
2008-09-12,174.45,174.45,165.0,165.05,1400,163.11
2008-09-15,170.0,170.0,150.0,170.0,375400,168.0
2008-09-16,154.0,158.15,150.5,153.65,2200,151.85
2008-09-17,152.1,163.0,148.5,149.3,1100,147.55
2008-09-18,149.5,149.5,135.0,137.1,6100,135.49
2008-09-19,135.7,149.95,135.7,146.55,3200,144.83
2008-09-22,146.55,156.95,142.25,145.9,1100,144.19
2008-09-23,143.0,152.45,142.05,148.3,3700,146.56
2008-09-24,138.1,150.0,138.1,144.9,1000,143.2
2008-09-25,150.0,150.0,144.45,144.45,300,142.75
2008-09-26,141.4,144.0,132.0,135.3,1500,133.71
2008-09-29,137.3,139.0,127.0,133.8,2500,132.23
2008-09-30,125.5,132.0,125.5,130.0,1000,128.47
2008-10-01,129.1,131.0,125.0,128.45,201400,127.09
2008-10-03,150.0,150.0,120.25,129.2,305000,127.83
2008-10-06,127.95,128.7,120.5,122.4,23500,121.1
2008-10-07,122.5,132.0,122.5,129.25,3600,127.88
2008-10-08,122.8,132.0,111.0,126.1,7000,124.76
2008-10-10,121.0,123.0,102.0,109.95,4500,108.78
2008-10-13,110.0,122.85,109.95,113.5,3800,112.3
2008-10-14,110.0,120.0,110.0,116.85,2700,115.61
2008-10-15,118.0,118.0,105.0,110.75,7200,109.58
2008-10-16,115.0,115.0,100.35,106.65,1700,105.52
2008-10-17,105.45,112.95,105.45,105.6,500,104.48
2008-10-20,106.0,113.5,85.0,85.0,26200,84.1
2008-10-21,88.0,93.95,88.0,91.6,3100,90.63
2008-10-22,87.0,92.95,85.5,87.7,2100,86.77
2008-10-23,87.9,89.5,80.1,82.0,6800,81.13
2008-10-24,80.6,98.4,80.6,98.4,9800,97.36
2008-10-27,95.0,106.85,81.0,90.0,5300,89.05
2008-10-28,94.0,94.0,89.0,90.0,600,89.05
2008-10-29,90.0,91.0,83.35,84.7,1900,83.8
2008-10-31,93.5,101.0,86.0,92.35,2400,91.37
2008-11-03,92.0,102.0,91.5,94.85,3900,93.84
2008-11-04,98.0,104.95,91.15,100.4,4600,99.34
