Date,Open,High,Low,Close,Volume,Adj Close
2011-12-14,159.8,159.8,141.0,145.7,95500,133.24
2011-12-15,140.05,145.0,140.05,142.0,5700,129.85
2011-12-16,144.6,146.85,137.95,140.6,3700,128.57
2011-12-19,132.05,143.5,132.05,137.05,1300,125.33
2011-12-20,137.0,140.0,136.0,136.0,400,124.37
2011-12-21,138.5,138.5,133.0,133.55,300,122.13
2011-12-22,132.0,134.45,131.6,131.65,3800,120.39
2011-12-23,134.45,139.5,133.1,133.2,4000,121.81
2011-12-26,137.0,137.0,134.0,136.95,100,125.24
2011-12-27,138.9,139.0,132.55,137.45,32800,125.69
2011-12-28,139.8,139.8,134.35,134.8,0,123.27
2011-12-29,137.05,140.0,132.5,136.45,145100,124.78
2011-12-30,136.0,144.0,136.0,140.45,10800,128.44
2012-01-02,139.75,139.75,139.45,139.45,600,127.52
2012-01-03,139.5,139.75,135.55,137.5,7700,125.74
2012-01-04,139.8,147.85,135.0,138.25,1000,126.42
2012-01-05,139.85,139.85,136.35,139.0,500,127.11
2012-01-06,132.7,139.45,132.7,139.0,100,127.11
2012-01-09,135.0,138.0,134.85,135.4,500,123.82
2012-01-10,139.0,144.75,136.5,140.3,27600,128.3
2012-01-11,135.65,140.0,135.65,139.75,6000,127.8
2012-01-12,115.9,139.0,115.9,132.2,9300,120.89
2012-01-13,135.0,138.0,135.0,135.0,1300,123.45
2012-01-16,138.5,138.5,134.0,134.0,100,122.54
2012-01-18,135.0,135.0,135.0,135.0,100,123.45
2012-01-19,132.05,135.75,132.05,135.55,100,123.96
2012-01-20,132.5,138.5,132.5,138.5,14600,126.65
2012-01-23,138.0,138.0,133.1,133.3,0,121.9
2012-01-24,138.0,138.0,135.0,136.45,2300,124.78
2012-01-25,126.7,158.4,126.5,149.8,34600,136.99
2012-01-27,153.0,164.25,153.0,159.6,25200,145.95
2012-01-30,155.0,157.0,146.35,156.9,4400,143.48
2012-01-31,155.0,160.0,155.0,158.85,5200,145.26
2012-02-01,155.0,157.05,148.15,155.95,500,142.61
2012-02-02,153.0,154.0,151.1,152.0,100,139.0
2012-02-03,150.5,152.9,150.1,152.9,1000,139.82
2012-02-06,157.0,160.0,151.0,153.8,18700,140.64
2012-02-07,154.0,160.0,147.8,156.15,1900,142.79
2012-02-08,157.0,159.9,156.0,156.1,14000,142.75
2012-02-09,153.0,153.3,151.55,151.55,1600,138.59
2012-02-10,153.5,156.0,143.0,150.05,500,137.22
2012-02-13,149.0,149.0,146.05,147.35,400,134.75
2012-02-14,147.0,147.0,146.5,146.75,3600,134.2
2012-02-15,145.5,148.75,145.5,146.2,2100,133.69
2012-02-16,143.6,168.0,143.0,165.05,70200,150.93
2012-02-17,165.05,166.0,157.0,164.6,18500,150.52
2012-02-21,160.0,175.0,160.0,163.4,10300,149.42
2012-02-22,169.8,171.6,165.5,168.7,30300,154.27
2012-02-23,166.05,172.95,157.0,169.1,106600,154.64
2012-02-24,174.85,180.0,168.1,177.25,55400,162.09
2012-02-27,174.95,175.0,166.0,170.0,11400,155.46
2012-02-28,167.0,184.5,166.05,182.1,30800,166.52
2012-02-29,180.0,190.0,180.0,184.75,27400,168.95
2012-03-01,185.0,185.0,178.0,181.4,4200,165.88
2012-03-02,179.1,179.1,173.0,175.5,500,160.49
2012-03-05,180.0,183.0,174.0,179.9,8200,164.51
2012-03-06,177.0,181.0,169.0,171.85,7700,157.15
2012-03-07,175.0,178.9,170.0,177.45,4500,162.27
2012-03-09,174.0,183.0,171.4,182.8,6900,167.16
2012-03-12,189.8,190.0,178.0,182.2,13200,166.62
2012-03-13,180.6,192.0,180.0,189.35,19000,173.15
2012-03-14,199.65,200.9,190.0,197.4,27000,180.51
2012-03-15,203.5,203.5,190.0,196.75,13100,179.92
2012-03-16,197.0,199.9,193.0,197.9,13300,180.97
2012-03-19,194.15,199.7,194.15,194.65,7800,178.0
2012-03-20,190.25,195.0,189.4,194.8,2800,178.14
2012-03-21,195.0,196.95,191.0,191.95,3400,175.53
2012-03-22,190.0,198.95,189.25,194.2,5700,177.59
2012-03-23,196.0,196.0,192.0,193.35,8300,176.81
2012-03-26,197.95,197.95,186.0,190.35,4900,174.07
2012-03-27,191.0,209.0,186.0,187.95,3700,171.87
2012-03-28,187.95,195.0,185.0,187.65,3900,171.6
2012-03-29,181.65,195.0,181.65,184.25,1600,168.49
2012-03-30,181.45,188.6,176.6,180.95,20400,165.47
2012-04-02,177.5,196.0,173.0,181.7,400,166.16
2012-04-03,187.9,196.0,181.7,195.65,9500,178.91
2012-04-04,186.55,197.4,186.55,196.6,5200,179.78
2012-04-09,195.0,197.9,192.5,195.85,10100,179.1
